hosp_date,age_group,new_hosp
2021-07-30,00+,794
2021-07-30,05-14,23
2021-07-30,15-34,212
2021-07-30,35-59,284
2021-07-30,60-79,178
2021-07-30,80+,77
2021-07-31,00-04,19
2021-07-31,00+,663
2021-07-31,05-14,26
2021-07-31,15-34,155
2021-07-31,35-59,235
2021-07-31,60-79,153
2021-07-31,80+,75
2021-08-01,00-04,9
2021-08-01,00+,621
2021-08-01,05-14,17
2021-08-01,15-34,128
2021-08-01,35-59,217
2021-08-01,60-79,151
2021-08-01,80+,99
2021-08-02,00-04,10
2021-08-02,00+,547
2021-08-02,05-14,11
2021-08-02,15-34,160
2021-08-02,35-59,174
2021-08-02,60-79,113
2021-08-02,80+,79
2021-08-03,00-04,38
2021-08-03,00+,761
2021-08-03,05-14,20
2021-08-03,15-34,197
2021-08-03,35-59,255
2021-08-03,60-79,155
2021-08-03,80+,96
2021-08-04,00-04,45
2021-08-04,00+,968
2021-08-04,05-14,20
2021-08-04,15-34,233
2021-08-04,35-59,347
2021-08-04,60-79,228
2021-08-04,80+,95
2021-08-05,00-04,22
2021-08-05,00+,911
2021-08-05,05-14,26
2021-08-05,15-34,213
2021-08-05,35-59,349
2021-08-05,60-79,198
2021-08-05,80+,103
2021-08-06,00-04,18
2021-08-06,00+,932
2021-08-06,05-14,16
2021-08-06,15-34,215
2021-08-06,35-59,350
2021-08-06,60-79,205
2021-08-06,80+,128
2021-08-07,00-04,18
2021-08-07,00+,818
2021-08-07,05-14,19
2021-08-07,15-34,226
2021-08-07,35-59,267
2021-08-07,60-79,141
2021-08-07,80+,147
2021-08-08,00-04,15
2021-08-08,00+,627
2021-08-08,05-14,10
2021-08-08,15-34,162
2021-08-08,35-59,212
2021-08-08,60-79,138
2021-08-08,80+,90
2021-08-09,00-04,15
2021-08-09,00+,618
2021-08-09,05-14,10
2021-08-09,15-34,162
2021-08-09,35-59,199
2021-08-09,60-79,144
2021-08-09,80+,88
2021-08-10,00-04,16
2021-08-10,00+,1213
2021-08-10,05-14,22
2021-08-10,15-34,309
2021-08-10,35-59,465
2021-08-10,60-79,259
2021-08-10,80+,142
2021-08-11,00-04,23
2021-08-11,00+,1267
2021-08-11,05-14,26
2021-08-11,15-34,299
2021-08-11,35-59,550
2021-08-11,60-79,221
2021-08-11,80+,148
2021-08-12,00-04,35
2021-08-12,00+,1244
2021-08-12,05-14,28
2021-08-12,15-34,265
2021-08-12,35-59,536
2021-08-12,60-79,242
2021-08-12,80+,138
2021-08-13,00-04,48
2021-08-13,00+,1298
2021-08-13,05-14,44
2021-08-13,15-34,266
2021-08-13,35-59,499
2021-08-13,60-79,300
2021-08-13,80+,141
